wdidx, widx
49, 3876
49, 3876
49, 3903
49, 4352
49, 4801
49, 5492
49, 5492
49, 5492
49, 5531
49, 6569
49, 6594
50, 668
50, 668
50, 1096
50, 1096
50, 1124
50, 1128
50, 1186
50, 2246
50, 2418
50, 2420
50, 2441
50, 3351
50, 3351
50, 3357
50, 3357
50, 3357
50, 3564
50, 3813
50, 3861
50, 4030
50, 4254
50, 4479
50, 4744
50, 4838
50, 5494
50, 5498
50, 5498
50, 5721
50, 5884
50, 6055
50, 6483
50, 6609
50, 6721
50, 6738
51, 527
51, 527
51, 890
51, 1251
51, 1435
51, 1859
51, 1859
51, 2247
51, 2723
51, 3145
51, 3191
51, 3637
51, 4979
51, 5137
51, 5715
51, 6210
52, 37
52, 40
52, 490
52, 527
52, 1037
52, 1123
52, 1123
52, 1956
52, 2036
52, 2064
52, 2880
52, 3960
52, 4098
52, 4098
52, 4098
52, 4098
52, 4098
52, 4098
52, 4099
52, 4099
52, 4100
52, 4501
52, 5225
52, 5230
52, 5464
52, 5464
52, 5704
52, 5704
52, 6208
52, 6513
52, 6681
53, 65
53, 152
53, 240
53, 273
53, 391
53, 899
53, 922
53, 1027
53, 1027
53, 1192
53, 1251
53, 1251
53, 1257
53, 1369
53, 1369
53, 1547
53, 1560
53, 1657
53, 1741
53, 1953
53, 2011
53, 2033
53, 2124
53, 2436
53, 2436
53, 2436
53, 2636
53, 2636
53, 2655
53, 3033
53, 3239
53, 3245
53, 3447
53, 3528
53, 3528
53, 3528
53, 3623
53, 3637
53, 3701
53, 3812
53, 4491
53, 4527
53, 4597
53, 4903
53, 4932
53, 4934
53, 5223
53, 5460
53, 5715
53, 5846
53, 5846
53, 6424
53, 6466
53, 6516
53, 6594
53, 6594
53, 6748
54, 311
54, 391
54, 1593
54, 1594
54, 1712
54, 1952
54, 2102
54, 2102
54, 2102
54, 2102
54, 2102
54, 2286
54, 2286
54, 2286
54, 2286
54, 2286
54, 2286
54, 2290
54, 2290
54, 2290
54, 2370
54, 2465
54, 2578
54, 2578
54, 2578
54, 2580
54, 2654
54, 2655
54, 2981
54, 3217
54, 3366
54, 3368
54, 3368
54, 3402
54, 3402
54, 3402
54, 3528
54, 3556
54, 3649
54, 3812
54, 4114
54, 4130
54, 4359
54, 4359
54, 4382
54, 4503
54, 4515
54, 4613
54, 5040
54, 5407
54, 5450
54, 5453
54, 5603
54, 5605
54, 5882
54, 5884
54, 5884
54, 5884
54, 6570
54, 6594
54, 6701
55, 565
55, 612
55, 821
55, 860
55, 977
55, 1029
55, 1280
55, 1809
55, 1837
55, 2102
55, 2102
55, 2102
55, 2279
55, 2284
55, 2284
55, 2284
55, 2286
55, 2286
55, 2286
55, 2286
55, 2286
55, 2286
55, 2290
55, 2290
55, 2290
55, 2290
55, 2290
55, 2290
55, 2290
55, 2290
55, 2290
55, 2290
55, 2290
55, 2290
55, 2290
55, 2491
55, 2701
55, 2737
55, 3246
55, 3277
55, 3359
55, 3368
55, 3445
55, 3454
55, 3489
55, 3816
55, 4403
55, 4570
55, 4745
55, 4759
55, 5088
55, 5204
55, 5205
55, 5605
55, 5605
55, 5605
55, 5605
55, 5615
55, 5846
55, 5933
55, 6464
55, 6515
55, 6570
55, 6575
55, 6575
56, 80
56, 163
56, 163
56, 527
56, 1424
56, 1441
56, 1441
56, 1630
56, 2404
56, 3101
56, 3101
56, 3101
56, 3740
56, 3861
56, 3861
56, 3876
56, 3876
56, 3876
56, 3876
56, 3876
56, 3876
56, 4339
56, 4352
56, 4352
56, 4352
56, 4580
56, 4800
56, 4801
56, 4801
56, 5329
56, 5460
56, 5485
56, 5490
56, 5492
56, 5611
56, 5693
56, 5693
56, 6066
57, 391
57, 1015
57, 1422
57, 1422
57, 1422
57, 1422
57, 1422
57, 1422
57, 1422
57, 1422
57, 1422
57, 1422
57, 1422
57, 1607
57, 1677
57, 1677
57, 1678
57, 1678
57, 1678
57, 1678
57, 1680
57, 1859
57, 2011
57, 2116
57, 2214
57, 2214
57, 2214
57, 2214
57, 2482
57, 2482
57, 3062
57, 3104
57, 3104
57, 3547
57, 3547
57, 3851
57, 3851
57, 3851
57, 3851
57, 3851
57, 3851
57, 3851
57, 4354
57, 4668
57, 5427
57, 5819
57, 5819
57, 5819
57, 5819
57, 5924
57, 5924
57, 6455
58, 267
58, 267
58, 422
58, 422
58, 422
58, 422
58, 637
58, 638
58, 836
58, 836
58, 1337
58, 1340
58, 1488
58, 1493
58, 1653
58, 1653
58, 1653
58, 1655
58, 1655
58, 2436
58, 2488
58, 2488
58, 2939
58, 3604
58, 3604
58, 3671
58, 3671
58, 3931
58, 3931
58, 3931
58, 3931
58, 3931
58, 4130
58, 4403
58, 4403
58, 4403
58, 4503
58, 4883
58, 4997
58, 5002
58, 5088
58, 5157
58, 6594
58, 6594
59, 89
59, 489
59, 489
59, 491
59, 492
59, 492
59, 492
59, 492
59, 492
59, 703
59, 1123
59, 1232
59, 1252
59, 1426
59, 1426
59, 1674
59, 1674
59, 1717
59, 1796
59, 1796
