wdidx, widx
167, 5111
167, 3534
167, 6513
167, 2623
167, 2196
167, 1629
167, 6177
167, 6513
167, 6439
168, 920
168, 3404
168, 4334
168, 3445
168, 6638
168, 2968
168, 3404
168, 5805
169, 859
169, 2279
169, 5506
169, 5166
169, 3204
169, 5166
169, 3861
169, 5506
170, 267
170, 4966
170, 3576
170, 1836
170, 3407
170, 3406
170, 4023
170, 2116
171, 6616
171, 3577
171, 6730
171, 4451
171, 5510
171, 4234
171, 5848
171, 5848
171, 6616
171, 5848
172, 4840
172, 5263
172, 760
172, 5263
172, 3402
172, 2436
172, 6721
172, 4477
172, 5263
172, 5263
173, 527
173, 5584
173, 2689
173, 5747
173, 638
173, 5748
173, 523
173, 6594
173, 1327
173, 6609
173, 4400
173, 6594
173, 491
174, 6362
174, 2361
174, 1293
174, 339
174, 4261
174, 339
175, 2418
175, 6195
175, 3876
175, 3861
175, 1078
176, 159
176, 2290
176, 2290
176, 2420
176, 4354
176, 897
177, 4501
177, 4503
177, 4503
177, 2013
177, 6690
177, 3643
177, 2013
178, 4071
178, 1658
178, 1131
178, 773
178, 5711
179, 5921
179, 3147
179, 2179
179, 3881
180, 4018
180, 6730
180, 1853
181, 3129
181, 1202
181, 4400
181, 2264
181, 3961
181, 3995
181, 5548
182, 1346
182, 351
182, 1986
182, 1986
182, 920
182, 2134
182, 6728
182, 6721
182, 6594
182, 4997
182, 6728
182, 6594
183, 3894
183, 2242
183, 2201
183, 4643
183, 503
183, 636
183, 3310
183, 3060
183, 1559
183, 2304
183, 6513
184, 4138
184, 4519
184, 84
184, 4635
184, 5609
184, 1222
185, 3449
185, 2734
185, 775
185, 408
185, 4118
185, 1529
185, 5898
185, 6610
185, 4114
185, 2147
185, 3373
186, 2426
186, 5344
186, 2674
186, 4562
186, 5830
186, 5344
186, 3362
186, 5343
186, 6082
186, 1738
186, 5343
186, 2279
186, 2279
186, 6609
187, 6637
187, 4429
187, 2320
187, 5002
187, 6637
187, 3373
187, 2436
187, 6637
187, 2290
188, 6313
188, 6728
188, 5728
188, 5444
188, 6313
188, 6728
188, 3462
188, 6728
188, 6728
189, 4161
189, 6078
189, 3280
189, 3478
189, 2292
189, 5150
190, 3439
190, 5210
190, 3877
190, 3904
