Peak_X,Peak_Y,Peak_Z,Topic_Assignment,Subregion_Assignment
41,15,34,2,1
41,15,34,5,1
41,15,34,2,1
-4,11,45,12,1
-4,11,53,64,1
-4,11,53,69,1
-4,11,53,69,1
-4,11,53,69,1
-4,11,53,64,1
-4,11,53,12,1
-49,-53,0,43,1
-49,-53,0,43,1
-49,-53,0,43,1
-38,-60,-15,43,1
-38,-60,-15,43,1
-38,-60,-15,43,1
-49,-56,-8,43,1
-49,-56,-8,43,1
-49,-56,-8,43,1
-34,-68,45,81,1
-34,-68,45,73,2
-34,-68,45,44,1
-11,-68,49,81,1
-11,-68,49,44,1
-11,-68,49,81,1
8,-71,53,94,1
8,-71,53,40,2
8,-71,53,94,1
-30,-71,34,81,1
-30,-71,34,73,2
-30,-71,34,81,1
-19,-83,-4,3,1
-19,-83,-4,43,1
-19,-83,-4,43,1
23,-86,11,44,2
23,-86,11,44,2
23,-86,11,44,2
18,-6,-15,71,1
-12,0,-9,18,2
-28,42,9,89,2
-40,24,36,77,2
-6,8,48,20,1
-8,-58,38,29,1
-8,-58,38,29,1
-28,-74,32,29,1
-28,-74,32,29,1
22,-78,32,81,2
22,-78,32,94,1
-42,28,34,59,2
38,28,34,91,2
38,28,34,91,2
-8,10,46,77,2
-12,-62,40,29,1
-12,-62,40,29,1
-26,-68,34,29,1
-26,-68,34,81,1
24,-72,40,29,1
24,-72,40,29,1
-44,24,32,29,2
-6,10,46,81,2
-10,-64,40,29,1
-10,-64,40,29,1
-30,-72,40,81,1
-30,-72,40,81,1
24,-76,40,81,2
24,-76,40,29,1
-34,30,34,77,2
38,36,40,91,2
38,36,40,91,2
-2,6,54,77,2
-4,-68,36,29,1
-4,-68,36,29,1
-26,-66,36,81,1
-26,-66,36,81,1
28,-64,36,29,1
28,-64,36,29,1
-30,30,34,29,2
30,26,34,77,2
30,26,34,77,2
6,8,48,77,2
6,8,48,77,2
-4,-62,40,29,1
-4,-62,40,29,1
-22,-64,40,29,1
-22,-64,40,29,1
30,-64,40,100,1
30,-64,40,29,1
-36,26,38,77,2
28,26,38,77,2
28,26,38,81,2
4,6,52,77,2
4,6,52,77,2
-6,-60,38,29,1
-6,-60,38,29,1
-28,-68,38,81,1
-28,-68,38,29,1
30,-66,38,29,1
30,-66,38,81,2
-34,32,34,29,2
34,36,34,91,2
34,36,34,91,2
-8,8,54,77,2
-10,-66,42,29,1
-10,-66,42,29,1
-30,-64,42,29,1
-30,-64,42,29,1
34,-64,42,29,1
34,-64,42,29,1
-38,30,38,29,2
-8,-66,38,29,1
-8,-66,38,29,1
-34,-68,38,81,1
-34,-68,38,29,1
28,-62,38,29,1
28,-62,38,29,1
-42,26,32,59,2
40,20,38,91,2
40,20,38,81,2
-4,12,48,77,2
-2,-62,38,29,1
-2,-62,38,29,1
-22,-72,36,81,1
-22,-72,36,29,1
28,-66,40,29,1
28,-66,40,81,2
-38,38,38,29,2
-4,12,52,77,2
-2,-58,38,29,1
-2,-58,38,29,1
-26,-78,38,58,2
-26,-78,38,81,1
24,-62,38,29,1
24,-62,38,29,1
-34,28,38,29,2
38,36,32,91,2
38,36,32,91,2
-4,8,46,77,2
-2,-64,36,29,1
-2,-64,36,29,1
-24,-66,32,29,1
-24,-66,32,29,1
32,-66,26,29,1
32,-66,26,29,1
-38,24,38,59,2
4,4,54,77,2
4,4,54,20,1
-6,-70,38,29,1
-6,-70,38,29,1
-26,-78,38,29,1
-26,-78,38,81,1
28,-76,38,29,1
28,-76,38,29,1
-42,24,34,29,2
-6,6,54,77,2
-2,-70,42,29,1
-2,-70,42,29,1
-32,-64,42,81,1
-32,-64,42,29,1
38,-68,42,29,1
38,-68,42,29,1
-34,-68,-15,10,2
-28,-52,-15,10,2
-31,-49,-18,10,2
34,-62,-15,39,1
34,-74,-12,95,1
37,-83,-3,44,2
-34,-83,-9,10,2
-28,-90,9,44,2
37,-21,53,14,2
-43,0,34,40,1
0,-3,53,14,1
-21,-68,40,44,1
-3,-74,-18,30,2
31,-65,43,62,1
9,-90,-12,44,2
-28,-55,40,44,1
12,-18,9,38,2
-25,-71,31,40,2
9,-71,-34,30,2
28,-68,31,30,2
34,-24,-21,70,2
-6,-65,-37,95,1
-53,-24,31,54,2
53,-24,43,14,2
0,-43,-15,95,1
-3,-62,-18,95,1
3,-3,25,39,1
-37,-12,-34,70,1
-6,-55,-12,30,2
-18,-49,-43,95,1
-9,-55,-40,95,1
-53,-27,40,54,2
9,-71,9,37,2
-31,-46,34,40,2
15,-83,43,30,2
-43,-37,34,38,1
59,-46,-15,98,1
-43,-65,-6,10,2
-34,-55,-12,10,2
-25,-40,-15,47,2
46,-55,-12,98,1
34,-52,-15,39,1
-40,9,31,40,1
28,-40,-15,38,2
-37,-87,-15,10,2
3,22,40,30,1
3,9,43,30,1
-34,-43,-21,47,2
-43,-61,-12,43,1
-41,-61,-12,10,2
-41,-56,-12,10,2
-41,-56,-17,10,2
-41,-56,-17,10,2
-37,-56,-17,16,1
-37,-61,-17,10,2
-37,-61,-18,10,2
-37,-61,-18,10,2
-35,-55,-17,10,2
35,-50,-18,70,2
41,-50,-18,70,2
41,-50,-18,70,2
41,-50,-16,70,2
41,-50,-16,90,2
43,-50,-16,70,2
43,-65,-16,98,1
43,-65,-16,98,1
43,-65,-16,98,1
-41,-76,-12,10,2
-21,-76,-12,16,1
-21,-87,-12,44,2
-21,-87,-15,44,2
-21,-87,-15,16,1
